req_id,user_id,date,service_category,start_time,loation_id
2001,1001,29/07/2022,Oneill,12:13,
2002,1002,06/10/2022,Mendota,17:00,
2003,1003,11/08/2022,Lunder,12:29,
2004,1004,14/01/2023,Westridge,12:44,
2005,1005,12/03/2023,Harper,12:59,
2006,1006,06/12/2022,Fuller,16:35,
2007,1007,09/01/2023,Sycamore,13:58,
2008,1008,03/08/2022,Vermont,19:40,
2009,1009,28/06/2022,Lindbergh,11:18,
2010,1010,26/04/2022,North,17:19,
2011,1011,03/02/2023,Crest Line,21:59,
2012,1012,12/11/2022,Texas,17:52,
2013,1013,08/04/2023,Merchant,15:00,
2014,1014,26/05/2022,Hovde,18:51,
2015,1015,08/05/2022,Westport,10:41,
2016,1016,12/07/2022,Bunting,10:33,
2017,1017,21/04/2022,Stang,18:30,
2018,1018,08/04/2023,Mallory,13:45,
2019,1019,22/07/2022,Welch,11:35,
2020,1020,05/11/2022,Elmside,18:55,
2021,1021,26/04/2022,Pierstorff,16:43,
2022,1022,20/12/2022,Carioca,14:32,
2023,1023,30/10/2022,Carpenter,12:04,
2024,1024,26/06/2022,Waxwing,11:52,
2025,1025,27/09/2022,Oak,14:21,
2026,1026,21/02/2023,Oxford,20:10,
2027,1027,14/01/2023,4th,13:47,
2028,1028,16/08/2022,Golf View,14:05,
2029,1029,27/04/2022,Heath,19:56,
2030,1030,07/02/2023,Twin Pines,19:15,
2031,1031,02/10/2022,Columbus,17:29,
2032,1032,05/11/2022,Maple Wood,14:36,
2033,1033,28/04/2022,Roxbury,11:45,
2034,1034,20/11/2022,La Follette,15:32,
2035,1035,18/04/2022,Novick,20:27,
2036,1036,28/11/2022,Blackbird,15:48,
2037,1037,21/11/2022,Lerdahl,12:25,
2038,1038,12/02/2023,Bay,18:10,
2039,1039,20/03/2023,School,20:19,
2040,1040,26/04/2022,School,13:21,
2041,1041,10/04/2023,Golden Leaf,20:43,
2042,1042,23/12/2022,Carioca,17:59,
2043,1043,26/01/2023,Dennis,17:44,
2044,1044,03/10/2022,Packers,14:12,
2045,1045,14/09/2022,Bayside,14:48,
2046,1046,21/04/2023,Clove,16:03,
2047,1047,15/11/2022,Red Cloud,19:36,
2048,1048,19/06/2022,Ryan,19:54,
2049,1049,08/07/2022,Jenna,13:30,
2050,1050,25/10/2022,Green Ridge,14:21,
2051,1051,05/07/2022,Alpine,21:26,
2052,1052,21/03/2023,Russell,16:58,
2053,1053,29/06/2022,Stone Corner,17:57,
2054,1054,15/09/2022,Union,16:13,
2055,1055,21/10/2022,Mallory,19:32,
2056,1056,03/11/2022,Thackeray,14:17,
2057,1057,19/04/2022,Scoville,19:00,
2058,1058,28/04/2022,Rowland,12:50,
2059,1059,17/06/2022,Daystar,14:24,
2060,1060,20/03/2023,Sheridan,18:03,
2061,1061,07/10/2022,Union,20:12,
2062,1062,14/02/2023,Coolidge,19:31,
2063,1063,15/12/2022,Northport,14:31,
2064,1064,10/05/2022,Katie,15:04,
2065,1065,13/09/2022,Mccormick,21:59,
2066,1066,13/01/2023,Becker,12:41,
2067,1067,25/06/2022,Graedel,17:56,
2068,1068,17/06/2022,Grover,15:32,
2069,1069,13/06/2022,Beilfuss,12:25,
2070,1070,31/01/2023,Jackson,13:01,
2071,1071,21/08/2022,Susan,16:54,
2072,1072,07/02/2023,Manitowish,17:07,
2073,1073,01/09/2022,Anniversary,13:48,
2074,1074,16/08/2022,Rieder,17:05,
2075,1075,19/12/2022,Fieldstone,16:23,
2076,1076,07/01/2023,Del Mar,13:38,
2077,1077,04/03/2023,Helena,18:20,
2078,1078,09/02/2023,Manitowish,15:12,
2079,1079,02/03/2023,Warrior,16:31,
2080,1080,21/01/2023,Monica,14:13,
2081,1081,08/05/2022,Barby,16:45,
2082,1082,06/02/2023,Ridge Oak,12:14,
2083,1083,26/04/2022,Michigan,17:01,
2084,1084,25/03/2023,Merrick,16:22,
2085,1085,18/02/2023,Shoshone,14:35,
2086,1086,08/09/2022,Lindbergh,19:24,
2087,1087,20/07/2022,Moland,15:45,
2088,1088,25/12/2022,Continental,15:56,
2089,1089,20/09/2022,Schurz,10:41,
2090,1090,30/09/2022,Dayton,13:29,
2091,1091,12/03/2023,Anzinger,11:48,
2092,1092,21/04/2022,Larry,15:29,
2093,1093,28/10/2022,Macpherson,20:00,
2094,1094,08/05/2022,Lillian,10:34,
2095,1095,08/03/2023,Hoffman,10:42,
2096,1096,21/10/2022,Vahlen,13:09,
2097,1097,08/01/2023,Bartelt,13:59,
2098,1098,14/12/2022,Starling,21:52,
2099,1099,20/08/2022,Hoffman,11:14,
2100,1100,12/02/2023,Sachs,14:31,
